isim,osm,ebced
canberk, جان برك,276
candan, جاندن,108
caner, جانر,254
cansu, جانصو,150
canyar, جانیار,265
cavidan, جاویدان,75
cavit, جاوید,24
cebel, جبل,35
cebrail, جبراءيل,247
celal, جلال,64
celaleddin, جلال‌الدین,159
celil, جلیل,73
celiliddin, جلیل‌الدین,168
cem, جم,43
cemal, جمال,74
cemaleddin, جمال الدين,169
cemalettin, جمال الدين,169
cemşit, جمشید,357
cemil, جَمیل,83
cemile, جَمیله,88
cemre, جمره,248
cenap, جناب,56
cengiz, جنكيز,90
cenk, جنك,73
cenker, جنكر,273
cennat, جَنات,454
cennet, جَنت,453
cercis, جرجیس,276
ceren, جرن,253
cevahir, جواهر,215
cevat, جواد,14
cevdet, جودت,413
cevriye, جورييه,234
ceyda, جيدا,18
ceyhan, جيحان,72
ceyhun, جیحون,77
ceylan, جيلان,94
ceylin, جيلين,103
ceyran, جيران,264
cibril, جبریل,245
cihad, جهاد,13
cihan, جهان,59
cihangir, جهانگیر,289
cihat, جهاد,13
civan, جوان,60
civanmert, جوانمرد,304
coşkun, جوشقون,465
cuma, جمعه,118
cumâdel-âhir, جمادى اﻻآخره,896
cumâdel-evvel , جمادى اﻻولى,136
cumartesi, جمعه اي رتسى,799
cumhur, جمهور,254
cumhuriyet, جمهوريت,664
döndü, دوندو,70
döne, دونه,65
dört, درت,604
dünya, دنیا,65
dürdane, دُردانه,264
düriye, دريه,219
daime, دائمه,60
damla, داملا,76
danyal, دانیال,96
davud, داود,15
davut, داود,15
dede, ده ده,18
defne, دفنه,139
delile, دلیله,79
demet, دمت,444
demir, دمير,254
demirhan, دميرخان,905
demirtaş, دميرطاش,564
deniz, دگيز,41
derviş, درويش,520
derya, دریا,215
destan, دَستان,515
devlet, دولت,440
devrim, دوريم,260
deyyan, دَیّان,65
didar, دیدار,219
didem, ديدم,58
dila, ديلا,45
dilçem, ديلچم,87
dilan, دیلان,95
dilanur, ديلانور,301
dilara, دلآرا,236
dilaver, دلاور,241
dilay, ديلاى,55
dilber, دلبر,236
dilek, ديلك,64
dindar, دیندار,269
diyana, دیانا,66
diyar, دیار,215
doğan, دوغان,1061
doğanay, دوغاناى,1072
doğuş, دوغوش,1316
doğukan, دوغوقان,1167
dokuz, طقوز,122
dora, دُرا,205
dorukhan, طوروق خان,972
dudu, دودو,20
duran, دوران,261
durdu, دوردو,220
durmuş, دورموش,556
dursun, دورسون,326
dursune, دورسونه,331
duru, دورو,216
durukan, دوروقان,367
duygu, دويغو,1026
eşe, أشه,306
eşref, اَشرف,581
ebrar, اَبرار,404
ebru, ابرو,209
ebu bekir, ابوبکر,231
ebu huzeyfe, أبوحذيفه,812
ebu zer, أبو ذر,909
ebubekir, ابوبكر,231
ebuzer, ابوذر,909
ece, اجه,9
ecehan, اجه خان,660
ecem, اجهم,49
ecmel, اجمل,74
ecrin, اجرين,264
eda, أدا,6
edibe, ادیبه,22
edip, ادیب,17
ediz, اديز,22
efşan, اَفشان,432
efdal, افضل,911
efe, أفه,86
efehan, أفه خان,737
eflatun, افلاطون,177
efsane, افسانه,197
efsun, افسون,197
ege, اكه,26
egehan, اكه خان,677
egemen, اكه من,116
einstein, أينشتاين,822
ekber, اکبر,223
ekim, أكيم,71
ekin, اكين,81
ekmel, اكمل,91
ekmeleddin, اكملالدّين,186
ekrem, اَکرم,261
ela, الا,32
